gene_id,gene_name
ensmusg00000113097,gm47959
ensmusg00000101784,gm7553
ensmusg00000038496,slc19a3
ensmusg00000100432,gm7539
ensmusg00000100190,krtap28-10
ensmusg00000113267,gm47969
ensmusg00000104423,a030005k14rik
ensmusg00000101315,krtap28-13
ensmusg00000099691,gm29518
ensmusg00000026166,ccl20
ensmusg00000101173,gm29519
ensmusg00000053161,daw1
ensmusg00000101896,gm6244
ensmusg00002075005,gm55129
ensmusg00000010609,psen2
ensmusg00000026163,sphkap
ensmusg00000079140,gm6374
ensmusg00000104374,gm37517
ensmusg00000104219,gm37989
ensmusg00000038855,itpkb
ensmusg00002076780,gm55143
ensmusg00000104388,gm37033
ensmusg00000077736,gm24555
ensmusg00000103123,gm37390
ensmusg00000103772,gm36933
ensmusg00000053963,stum
ensmusg00000104210,gm37984
ensmusg00000045658,pid1
ensmusg00000102750,gm37058
ensmusg00000101934,gm18304
ensmusg00000098851,mir6353
ensmusg00000015484,fam163a
ensmusg00000048402,gli2
ensmusg00000098273,mir6346
ensmusg00000097408,gm26831
ensmusg00000096939,gm8321
ensmusg00000100767,gm3508
ensmusg00000037035,inhbb
ensmusg00000036766,dner
ensmusg00000104396,gm37959
ensmusg00000102481,gm37925
ensmusg00000005886,ncoa2
ensmusg00000093254,mir5126
ensmusg00000004451,ralb
ensmusg00000101437,gm29454
ensmusg00000103506,gm38376
ensmusg00000103495,gm37409
ensmusg00002076346,gm55160
ensmusg00000102639,gm38223
ensmusg00000098923,tmem185b
ensmusg00000104170,gm37702
ensmusg00000087782,gm23169
ensmusg00000101731,3830432h09rik
ensmusg00000103085,gm38120
ensmusg00000084505,gm25322
ensmusg00000102664,gm38380
ensmusg00000101171,gm7593
ensmusg00000026496,parp1
ensmusg00000025935,tram1
ensmusg00000025937,lactb2
ensmusg00000102982,gm38319
ensmusg00000067813,xkr9
ensmusg00000077368,gm26273
ensmusg00000097711,gm5523
ensmusg00000102166,gm36947
ensmusg00002075174,gm55173
ensmusg00000104209,gm37400
ensmusg00000026219,trip12
ensmusg00000103505,gm38374
ensmusg00000104503,gm37738
ensmusg00000073633,fbxo36
ensmusg00000026220,slc16a14
ensmusg00000118590,gm15433
ensmusg00000099693,gm29284
ensmusg00000026104,stat1
ensmusg00000026383,epb41l5
ensmusg00000099569,gm18301
ensmusg00000102687,gm37219
ensmusg00000060743,h3f3a
ensmusg00000084558,gm24836
ensmusg00000038806,sde2
ensmusg00000052477,sp140l2
ensmusg00000103979,gm20305
ensmusg00000064281,rpl19-ps1
ensmusg00002076475,gm55239
ensmusg00000118640,gm7582
ensmusg00000101279,gm18342
ensmusg00000066652,lefty2
ensmusg00000025932,eya1
ensmusg00002075819,gm55247
ensmusg00000102588,gm37444
ensmusg00000089844,sp140l1
ensmusg00000073631,gm10553
ensmusg00000026520,pycr2
ensmusg00000025930,msc
ensmusg00000103492,gm37412
ensmusg00000081201,smt3h2-ps4
ensmusg00000038793,lefty1
ensmusg00000082193,rpl5-ps1
